Type,Description,Type_encoded,requirement_length,requirement_length_scaled
PE,The system shall refresh the display every 60 seconds.,7,54,-1.0331776475447114
LF,The application shall match the color of the schema set forth by Department of Homeland Security,4,96,-0.3380421045729441
US,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,11,159,0.7046612098847068
A,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,0,196,1.3170425215503114
US,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,11,203,1.4328984453789393
SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,10,180,1.0522289813705905
US,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,11,172,0.91982221128073
PE,The product shall respond fast to keep up-to-date data in the display.,7,70,-0.7683641073649905
F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,1,93,-0.3876946433566418
F,The system shall display Events in a vertical table by time.,1,60,-0.9338725699773162
F,The system shall display the Events in a graph by time.,1,55,-1.016626801283479
L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,3,126,0.15848328326403255
L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,3,217,1.664610293036195
L,All actions that modify an existing dispute case must be recorded in the case history.,3,86,-0.5035505671852697
F,The Disputes System must be accessible by both internal and external users.,1,75,-0.6856098760588277
F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,1,116,-0.0070251793482930145
F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,1,140,0.3901951309212883
F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,1,122,0.09227989821910232
F,The Disputes System shall provide view access capability for authorized users of the application.,1,97,-0.32149125831171155
F,The Disputes System shall provide update access capability for authorized users of the application.,1,99,-0.28838956578924646
F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,1,146,0.48950020848868364
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,1,147,0.5060510547499162
F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,1,94,-0.37114379709540923
F,The Disputes System must provide the ability to view existing dispute cases.,1,76,-0.6690590297975952
F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,1,133,0.2743392070926604
F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,1,107,-0.155982795699386
F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,1,108,-0.13943194943815346
O,The product must support Internet Explorer 5.5 and above.,6,57,-0.9835251087610137
O,The product must support Mozilla Firefox 1.0 and above.,6,55,-1.016626801283479
O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,6,105,-0.18908448822185112
O,The product shall run on the existing hardware for all environments.,6,68,-0.8014657998874557
O,The product shall adhere to the corporate Architecture guidelines,6,65,-0.8511183386711534
LF,The product shall comply with corporate User Interface Guidelines,4,65,-0.8511183386711534
LF,The product shall comply with corporate color scheme,4,52,-1.0662793400671766
LF,The appearance of the product shall appear professional,4,55,-1.016626801283479
PO,The software product is expected to run on Windows or Linux platforms.,8,70,-0.7683641073649905
US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,11,150,0.5557035935336139
US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,11,177,1.0025764425868928
US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,11,99,-0.28838956578924646
US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,11,133,0.2743392070926604
US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,11,116,-0.0070251793482930145
PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,7,126,0.15848328326403255
PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,7,141,0.40674597718252087
PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,7,135,0.30744089961512555
PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,7,109,-0.1228811031769209
A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,0,176,0.9860255963256603
A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0,109,-0.1228811031769209
SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,9,118,0.026076513174172096
SC,The average number of recycled parts records per day shall be 50 000.,9,69,-0.7849149536262231
SC,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,9,97,-0.32149125831171155
O,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,6,112,-0.07322856439322324
O,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,6,94,-0.37114379709540923
O,The maintenance of the product will fall within the established corporate maintenance windows.,6,94,-0.37114379709540923
O,The product shall be supported using the corporate support center.,6,66,-0.8345674924099208
O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,6,124,0.12538159074156743
SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,10,127,0.1750341295252651
SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,10,160,0.7212120561459394
SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,10,158,0.6881103636234743
SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,10,100,-0.2718387195280139
SE,One insurance company shall not be able to view another insurance companys claim data.,10,86,-0.5035505671852697
SE,The product shall free of computer viruses.,10,43,-1.2152369564182695
SE,The system shall prevent malicious attacks including denial of service.,10,71,-0.751813261103758
L,The product must comply with Sarbanes-Oxley.,3,44,-1.198686110157037
L,The product shall comply with the estimatics laws relating to recycled parts usage.,3,83,-0.5532031059689674
L,The product shall comply with insurance regulations regarding claims processing.,3,80,-0.602855644752665
F,The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,1,108,-0.13943194943815346
F,The vehicle data shall include vehicle year  make  and model,1,60,-0.9338725699773162
F,The vehicle location shall include street address  city  state  and zipcode,1,75,-0.6856098760588277
F,The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,1,99,-0.28838956578924646
F,The search radius shall be between 1 and 30 miles,1,49,-1.1159318788508743
F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,1,101,-0.2552878732667813
F,The adjuster shall enter the preferred repair facility on the estimate assignment.,1,82,-0.5697539522301999
F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,1,97,-0.32149125831171155
F,The preferred repair facility shall be returned to the user.,1,60,-0.9338725699773162
F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,1,124,0.12538159074156743
F,The estimator shall search for available recycled parts using damaged vehicle parts information.,1,96,-0.3380421045729441
F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,1,98,-0.304940412050479
F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,1,98,-0.304940412050479
